Protein,Rank,Ligand_File,CID,Best_Affinity
AF-P92979-F1-model_v6,1,9 Conformer3D_COMPOUND_CID_5281295_out.pdbqt,5281295,-9.171
AF-P92979-F1-model_v6,2,89 Conformer3D_COMPOUND_CID_57697_out.pdbqt,57697,-9.051
AF-P92979-F1-model_v6,3,1 Conformer3D_COMPOUND_CID_10238_out.pdbqt,10238,-8.867
AF-P92979-F1-model_v6,4,105 Conformer3D_COMPOUND_CID_10177_out.pdbqt,10177,-8.667
AF-P92979-F1-model_v6,5,109 Conformer3D_COMPOUND_CID_136510486_out.pdbqt,136510486,-8.4
AF-P92979-F1-model_v6,6,40 Conformer3D_COMPOUND_CID_145925915_out.pdbqt,145925915,-7.987
AF-P92979-F1-model_v6,7,36 Conformer3D_COMPOUND_CID_151505_out.pdbqt,151505,-7.976
AF-P92979-F1-model_v6,8,54 Conformer3D_COMPOUND_CID_71749111_out.pdbqt,71749111,-7.817
AF-P92979-F1-model_v6,9,117 Conformer3D_COMPOUND_CID_439924_out.pdbqt,439924,-7.755
AF-P92979-F1-model_v6,10,58 Conformer3D_COMPOUND_CID_189748_out.pdbqt,189748,-7.699
AF-P92979-F1-model_v6,11,110 Conformer3D_COMPOUND_CID_450274_out.pdbqt,450274,-7.683
AF-P92979-F1-model_v6,12,16 Conformer3D_COMPOUND_CID_57354748_out.pdbqt,57354748,-7.679
AF-P92979-F1-model_v6,13,55 Conformer3D_COMPOUND_CID_162661094_out.pdbqt,162661094,-7.651
AF-P92979-F1-model_v6,14,25 Conformer3D_COMPOUND_CID_58319023_out.pdbqt,58319023,-7.596
AF-P92979-F1-model_v6,15,37 Conformer3D_COMPOUND_CID_12071638_out.pdbqt,12071638,-7.575
AF-P92979-F1-model_v6,16,104 Conformer3D_COMPOUND_CID_6303_out.pdbqt,6303,-7.526
AF-P92979-F1-model_v6,17,38 Conformer3D_COMPOUND_CID_21864615_out.pdbqt,21864615,-7.519
AF-P92979-F1-model_v6,18,52 Conformer3D_COMPOUND_CID_15382325_out.pdbqt,15382325,-7.363
AF-P92979-F1-model_v6,19,51 Conformer3D_COMPOUND_CID_896_out.pdbqt,896,-7.327
AF-P92979-F1-model_v6,20,24 Conformer3D_COMPOUND_CID_165879_out.pdbqt,165879,-7.304
AF-P92979-F1-model_v6,21,60 Conformer3D_COMPOUND_CID_129373222_out.pdbqt,129373222,-7.268
AF-P92979-F1-model_v6,22,32 Conformer3D_COMPOUND_CID_146037329_out.pdbqt,146037329,-7.258
AF-P92979-F1-model_v6,23,59 Conformer3D_COMPOUND_CID_1785786_out.pdbqt,1785786,-7.226
AF-P92979-F1-model_v6,24,11 Conformer3D_COMPOUND_CID_13295139_out.pdbqt,13295139,-7.215
AF-P92979-F1-model_v6,25,15 Conformer3D_COMPOUND_CID_45117541_out.pdbqt,45117541,-7.176
AF-P92979-F1-model_v6,26,53 Conformer3D_COMPOUND_CID_91244073_out.pdbqt,91244073,-7.141
AF-P92979-F1-model_v6,27,43 Conformer3D_COMPOUND_CID_121226585_out.pdbqt,121226585,-7.039
AF-P92979-F1-model_v6,28,4 Conformer3D_COMPOUND_CID_54947465_out.pdbqt,54947465,-6.99
AF-P92979-F1-model_v6,29,56 Conformer3D_COMPOUND_CID_154733091_out.pdbqt,154733091,-6.853
AF-P92979-F1-model_v6,30,14 Conformer3D_COMPOUND_CID_45117529_out.pdbqt,45117529,-6.83
AF-P92979-F1-model_v6,31,111 Conformer3D_COMPOUND_CID_3080699_out.pdbqt,3080699,-6.671
AF-P92979-F1-model_v6,32,45 Conformer3D_COMPOUND_CID_12611335_out.pdbqt,12611335,-6.65
AF-P92979-F1-model_v6,33,91 Conformer3D_COMPOUND_CID_7017_out.pdbqt,7017,-6.65
AF-P92979-F1-model_v6,34,10 Conformer3D_COMPOUND_CID_71365969_out.pdbqt,71365969,-6.646
AF-P92979-F1-model_v6,35,33 Conformer3D_COMPOUND_CID_7251179_out.pdbqt,7251179,-6.644
AF-P92979-F1-model_v6,36,106 Conformer3D_COMPOUND_CID_158364_out.pdbqt,158364,-6.616
