Ligand Name,CID,SMILES,Molecular Weight,LogP,TPSA,HBA,HBD,Rotatable Bonds,Aromatic Rings,Heavy Atoms
"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl sulfo hydrogen phosphate",10238,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O,427.29,-2.04,229.44,12,5,6,2,27
"2-(sulfamoylamino)-4,5-dihydro-1,3-oxazole",15155595,NS(=O)(=O)NC1=NCCO1,165.17,-1.83,93.78,4,2,1,0,10
N-dimethylsulfinamoyl-N-methylmethanamine,77385,CN(C)S(=O)N(C)C,136.22,-0.31,23.55,1,0,2,0,8
1-hydroxy-4-methyl-2-[[methyl(propan-2-yl)sulfamoyl]amino]benzene,54947465,Cc1ccc(O)c(NS(=O)(=O)N(C)C(C)C)c1,258.34,1.7,69.64,3,2,4,1,17
[trimethylsilyl(trimethylsilylsulfamoyl)amino]methane,71383291,CN([Si](C)(C)C)S(=O)(=O)N[Si](C)(C)C,254.5,1.42,49.41,2,1,4,0,14
"1,1,1-trichloro-2-(dimethylsulfamoylimino)ethane",71380130,CN(C)S(=O)(=O)N=CC(Cl)(Cl)Cl,253.54,1.23,49.74,2,0,2,0,12
2-methyl-N-(2-methylbut-3-en-2-ylsulfamoyl)but-3-en-2-amine,71441023,C=CC(C)(C)NS(=O)(=O)NC(C)(C)C=C,232.35,1.34,58.2,2,2,6,0,15
"1,1,1,2-tetrachloro-2-(dimethylsulfamoylamino)ethane",71380131,CN(C)S(=O)(=O)N[C@H](Cl)C(Cl)(Cl)Cl,290.0,1.32,49.41,2,1,3,0,13
"(2Z)-2-[(3,4-dihydroxyphenyl)methylidene]-6-hydroxy-1-benzofuran-3-one",5281295,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,270.24,2.42,86.99,5,3,1,2,20
1-(dimethylamino)-4-(sulfamoyliminomethyl)benzene,71365969,CN(C)c1ccc(C=NS(N)(=O)=O)cc1,227.29,0.37,75.76,3,1,3,1,15
1-(dimethylsulfamoylamino)-4-(trifluoromethylsulfanyl)benzene,13295139,CN(C)S(=O)(=O)Nc1ccc(SC(F)(F)F)cc1,300.33,2.52,49.41,3,1,4,1,18
"2-(sulfamoylamino)-1,4,5,6-tetrahydropyrimidine",137347899,NS(=O)(=O)NC1=NCCCN1,178.22,-1.87,96.58,4,3,1,0,11
Not available,9964064,NS(N)=O,80.11,-1.52,69.11,1,2,0,0,4
"3-cyano-2-(sulfamoylamino)-5,6-dihydro-4H-cyclopenta[b]thiophene",45117529,N#Cc1c(NS(N)(=O)=O)sc2c1CCC2,243.31,0.72,95.98,4,2,2,1,15
"2-(sulfamoylamino)-2,3-dihydro-1H-indene",45117541,NS(=O)(=O)NC1Cc2ccccc2C1,212.27,-0.05,72.19,2,2,2,1,14
"3-methyl-1,1-dioxo-5-(sulfamoylamino)-1,2,6-thiadiazinane",57354748,C[C@@H]1C[C@H](NS(N)(=O)=O)NS(=O)(=O)N1,244.3,-2.68,130.39,4,4,2,0,14
Not available,139618,O=S=NSN=S=O,156.21,0.34,58.86,5,0,2,0,7
sulfamide,82267,NS(N)(=O)=O,96.11,-1.85,86.18,2,2,0,0,5
4-methylsulfanyl-N-(propan-2-ylsulfamoyl)aniline,54434743,CSc1ccc(NS(=O)(=O)NC(C)C)cc1,260.38,2.06,58.2,3,2,5,1,16
